# Tue Sep  5 19:18:36 2023
#  Tiempo [s], Voltaje [V], Corriente [A]
#   pw=0, T = 0, nplc=0.5
9.007928133010864258e+00,4.000440000000000107e-01,3.981629999999999900e-07
9.026896238327026367e+00,4.000440000000000107e-01,4.010730000000000075e-07
9.045874595642089844e+00,4.000469999999999859e-01,3.987660000000000120e-07
9.065270662307739258e+00,4.000480000000000147e-01,3.999070000000000088e-07
9.084767580032348633e+00,4.000409999999999799e-01,3.974029999999999753e-07
9.102139949798583984e+00,4.000460000000000127e-01,3.986099999999999939e-07
9.122146129608154297e+00,4.000469999999999859e-01,3.928619999999999877e-07
9.141114711761474609e+00,4.000489999999999879e-01,3.958390000000000017e-07
9.159669160842895508e+00,4.000549999999999939e-01,3.985369999999999906e-07
9.178736925125122070e+00,4.000489999999999879e-01,3.912159999999999742e-07
9.200468301773071289e+00,4.000529999999999919e-01,3.904230000000000014e-07
9.216461896896362305e+00,4.000500000000000167e-01,3.908610000000000216e-07
9.235875606536865234e+00,4.000489999999999879e-01,3.890609999999999923e-07
9.254288196563720703e+00,4.000480000000000147e-01,3.903629999999999863e-07
9.273043394088745117e+00,4.000489999999999879e-01,3.934369999999999780e-07
9.291374921798706055e+00,4.000469999999999859e-01,3.969130000000000020e-07
9.313402891159057617e+00,4.000440000000000107e-01,3.964840000000000184e-07
9.328519105911254883e+00,4.000440000000000107e-01,3.984590000000000080e-07
9.347874879837036133e+00,4.000489999999999879e-01,4.004049999999999912e-07
