Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,1e-06,
Record Length,10000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH2
-1.8870e-03,-0.01,0.1
-1.8860e-03,0.01,0.12
-1.8850e-03,0.01,0.1
-1.8840e-03,-0.01,0.12
-1.8830e-03,0.03,0.1
-1.8820e-03,-0.01,0.08
-1.8810e-03,0.01,0.06
-1.8800e-03,0.01,0.08
-1.8790e-03,-0.01,0.1
-1.8780e-03,-0.01,0.12
-1.8770e-03,-0.01,0.12
-1.8760e-03,0.01,0.1
-1.8750e-03,0.01,0.08
-1.8740e-03,-0.01,0.1
-1.8730e-03,0.01,0.08
-1.8720e-03,0.01,0.1
-1.8710e-03,0.01,0.08
-1.8700e-03,0.01,0.08
-1.8690e-03,0.01,0.04
-1.8680e-03,0.05,0.08
-1.8670e-03,0.03,0.1
-1.8660e-03,0.05,0.12
-1.8650e-03,0.01,0.08
-1.8640e-03,0.01,0.08
-1.8630e-03,0.01,0.12
-1.8620e-03,-0.03,0.12
-1.8610e-03,-0.01,0.08
-1.8600e-03,0.03,0.08
-1.8590e-03,0.03,0.06
-1.8580e-03,0.01,0.06
-1.8570e-03,0.01,0.08
-1.8560e-03,0.03,0.1
-1.8550e-03,0.03,0.06
-1.8540e-03,-0.01,0.06
-1.8530e-03,0.03,0.08
-1.8520e-03,0.01,0.14
-1.8510e-03,0.05,0.08
-1.8500e-03,0.03,0.08
-1.8490e-03,0.03,0.12
-1.8480e-03,-0.03,0.08
-1.8470e-03,0.03,0.06
-1.8460e-03,0.01,0.08
-1.8450e-03,0.05,0.06
-1.8440e-03,-0.01,0.1
-1.8430e-03,0.01,0.12
-1.8420e-03,-0.01,0.06
-1.8410e-03,0.01,0.08
-1.8400e-03,0.01,0.1
-1.8390e-03,0.01,0.08
-1.8380e-03,-0.01,0.1
-1.8370e-03,-0.01,0.06
-1.8360e-03,0.01,0.08
-1.8350e-03,0.01,0.1
-1.8340e-03,0.05,0.1
-1.8330e-03,0.01,0.12
-1.8320e-03,0.01,0.1
-1.8310e-03,0.01,0.06
-1.8300e-03,0.01,0.12
-1.8290e-03,0.01,0.06
-1.8280e-03,0.03,0.06
-1.8270e-03,-0.03,0.06
-1.8260e-03,-0.01,0.08
-1.8250e-03,0.01,0.14
-1.8240e-03,0.03,0.1
-1.8230e-03,0.01,0.06
-1.8220e-03,0.03,0.06
-1.8210e-03,-0.01,0.08
-1.8200e-03,0.01,0.1
-1.8190e-03,0.03,0.08
-1.8180e-03,0.01,0.08
-1.8170e-03,0.05,0.06
-1.8160e-03,0.01,0.06
-1.8150e-03,-0.03,0.08
-1.8140e-03,0.01,0.1
-1.8130e-03,0.01,0.06
-1.8120e-03,-0.01,0.1
-1.8110e-03,0.01,0.1
-1.8100e-03,0.01,0.08
-1.8090e-03,-0.01,0.06
-1.8080e-03,0.03,0.06
-1.8070e-03,0.01,0.12
-1.8060e-03,0.01,0.06
-1.8050e-03,0.01,0.12
-1.8040e-03,-0.01,0.12
-1.8030e-03,0.03,0.1
-1.8020e-03,0.03,0.08
-1.8010e-03,-0.01,0.08
-1.8000e-03,0.01,0.08
-1.7990e-03,0.01,0.1
-1.7980e-03,0.01,0.08
-1.7970e-03,-0.01,0.1
-1.7960e-03,0.01,0.12
